query_id,method,ndcg@10,recall@100,recip_rank
0,bm25,0.0,0.0,0.0
2,bm25,1.0,1.0,1.0
4,bm25,0.0,1.0,0.07692307692307693
6,bm25,1.0,1.0,1.0
9,bm25,1.0,1.0,1.0
10,bm25,0.43067655807339306,1.0,0.25
11,bm25,0.5,1.0,0.3333333333333333
12,bm25,1.0,1.0,1.0
14,bm25,0.43067655807339306,1.0,0.25
15,bm25,0.0,1.0,0.021739130434782608
17,bm25,0.0,0.0,0.0
18,bm25,0.0,1.0,0.07692307692307693
19,bm25,0.0,1.0,0.045454545454545456
20,bm25,0.0,1.0,0.04
21,bm25,0.3333333333333333,1.0,0.14285714285714285
22,bm25,1.0,1.0,1.0
24,bm25,0.6309297535714575,1.0,0.5
25,bm25,1.0,1.0,1.0
26,bm25,0.0,0.0,0.0
27,bm25,0.0,0.0,0.0
28,bm25,1.0,1.0,1.0
30,bm25,0.6309297535714575,1.0,0.5
32,bm25,1.0,1.0,1.0
34,bm25,1.0,1.0,1.0
35,bm25,0.20438239758848611,1.0,0.14285714285714285
37,bm25,0.23719771276929622,1.0,0.2
39,bm25,1.0,1.0,1.0
40,bm25,1.0,1.0,1.0
41,bm25,1.0,1.0,1.0
43,bm25,0.6309297535714575,1.0,0.5
44,bm25,1.0,1.0,1.0
45,bm25,1.0,1.0,1.0
46,bm25,1.0,1.0,1.0
47,bm25,1.0,1.0,1.0
52,bm25,1.0,1.0,1.0
55,bm25,0.38685280723454163,1.0,0.2
58,bm25,1.0,1.0,1.0
60,bm25,0.48247555939075504,1.0,0.25
61,bm25,0.5640920940185894,1.0,0.5
62,bm25,0.43067655807339306,1.0,0.25
63,bm25,0.0,0.0,0.0
64,bm25,0.0,1.0,0.011627906976744186
66,bm25,0.0,0.0,0.0
67,bm25,1.0,1.0,1.0
68,bm25,1.0,1.0,1.0
69,bm25,1.0,1.0,1.0
71,bm25,1.0,1.0,1.0
73,bm25,0.6309297535714575,1.0,0.5
74,bm25,0.5,1.0,0.3333333333333333
76,bm25,1.0,1.0,1.0
77,bm25,1.0,1.0,1.0
78,bm25,1.0,1.0,1.0
79,bm25,0.5,1.0,0.3333333333333333
80,bm25,0.5,1.0,0.3333333333333333
81,bm25,0.0,1.0,0.02564102564102564
82,bm25,0.5,1.0,0.3333333333333333
85,bm25,0.8772153153380493,1.0,1.0
86,bm25,0.8772153153380493,1.0,1.0
88,bm25,0.3065735963827292,1.0,0.3333333333333333
89,bm25,0.20438239758848611,1.0,0.14285714285714285
90,bm25,0.3333333333333333,1.0,0.14285714285714285
91,bm25,0.0,0.0,0.0
92,bm25,0.0,0.0,0.0
93,bm25,0.0,1.0,0.09090909090909091
95,bm25,0.0,0.0,0.0
96,bm25,1.0,1.0,1.0
98,bm25,1.0,1.0,1.0
104,bm25,0.38685280723454163,1.0,0.2
105,bm25,1.0,1.0,1.0
106,bm25,1.0,1.0,1.0
108,bm25,0.9674679834891693,1.0,1.0
109,bm25,0.6309297535714575,1.0,0.5
111,bm25,1.0,1.0,1.0
112,bm25,1.0,1.0,1.0
114,bm25,1.0,1.0,1.0
116,bm25,1.0,1.0,1.0
119,bm25,1.0,1.0,1.0
120,bm25,1.0,1.0,1.0
121,bm25,0.2890648263178879,1.0,0.1
122,bm25,0.0,1.0,0.09090909090909091
123,bm25,1.0,1.0,1.0
126,bm25,1.0,1.0,1.0
134,bm25,0.0,1.0,0.021739130434782608
138,bm25,1.0,1.0,1.0
139,bm25,0.0,0.0,0.0
144,bm25,1.0,1.0,1.0
149,bm25,1.0,1.0,1.0
152,bm25,1.0,1.0,1.0
153,bm25,1.0,1.0,1.0
154,bm25,1.0,1.0,1.0
155,bm25,1.0,1.0,1.0
156,bm25,1.0,1.0,1.0
157,bm25,1.0,1.0,1.0
159,bm25,1.0,1.0,1.0
160,bm25,1.0,1.0,1.0
161,bm25,1.0,1.0,1.0
164,bm25,1.0,1.0,1.0
165,bm25,1.0,1.0,1.0
166,bm25,1.0,1.0,1.0
167,bm25,1.0,1.0,1.0
168,bm25,1.0,1.0,1.0
169,bm25,1.0,1.0,1.0
172,bm25,1.0,1.0,1.0
173,bm25,0.0,0.0,0.0
174,bm25,0.6309297535714575,1.0,0.5
175,bm25,0.43067655807339306,1.0,0.25
176,bm25,0.43067655807339306,1.0,0.25
177,bm25,1.0,1.0,1.0
178,bm25,0.7087212693585175,1.0,1.0
181,bm25,1.0,1.0,1.0
182,bm25,0.0,1.0,0.07142857142857142
184,bm25,0.6309297535714575,1.0,0.5
186,bm25,0.3562071871080222,1.0,0.16666666666666666
187,bm25,0.3562071871080222,1.0,0.16666666666666666
189,bm25,0.5,1.0,0.3333333333333333
196,bm25,1.0,1.0,1.0
197,bm25,1.0,1.0,1.0
199,bm25,1.0,1.0,1.0
200,bm25,1.0,1.0,1.0
201,bm25,1.0,1.0,1.0
203,bm25,1.0,1.0,1.0
204,bm25,1.0,1.0,1.0
205,bm25,1.0,1.0,1.0
209,bm25,0.38685280723454163,1.0,0.2
210,bm25,1.0,1.0,1.0
211,bm25,0.0,1.0,0.016129032258064516
214,bm25,0.3562071871080222,1.0,0.16666666666666666
220,bm25,1.0,1.0,1.0
221,bm25,1.0,1.0,1.0
222,bm25,1.0,1.0,1.0
223,bm25,1.0,1.0,1.0
224,bm25,0.0,1.0,0.043478260869565216
225,bm25,0.0,0.0,0.0
226,bm25,0.0,0.0,0.0
227,bm25,1.0,1.0,1.0
228,bm25,1.0,1.0,1.0
229,bm25,1.0,1.0,1.0
235,bm25,1.0,1.0,1.0
241,bm25,0.0,0.5,0.043478260869565216
242,bm25,0.0,0.5,0.045454545454545456
243,bm25,1.0,1.0,1.0
244,bm25,1.0,1.0,1.0
245,bm25,0.6131471927654584,1.0,1.0
246,bm25,0.6131471927654584,1.0,1.0
247,bm25,0.43067655807339306,1.0,0.25
250,bm25,1.0,1.0,1.0
251,bm25,1.0,1.0,1.0
253,bm25,0.5,1.0,0.3333333333333333
254,bm25,0.5,1.0,0.3333333333333333
255,bm25,1.0,1.0,1.0
256,bm25,1.0,1.0,1.0
258,bm25,0.43067655807339306,1.0,0.25
259,bm25,0.0,1.0,0.06666666666666667
262,bm25,0.0,1.0,0.010309278350515464
263,bm25,0.9674679834891693,1.0,1.0
264,bm25,1.0,1.0,1.0
265,bm25,1.0,1.0,1.0
266,bm25,0.6309297535714575,1.0,0.5
267,bm25,0.8315546295836225,1.0,1.0
272,bm25,1.0,1.0,1.0
277,bm25,1.0,1.0,1.0
278,bm25,1.0,1.0,1.0
280,bm25,1.0,1.0,1.0
281,bm25,1.0,1.0,1.0
283,bm25,1.0,1.0,1.0
285,bm25,1.0,1.0,1.0
286,bm25,1.0,1.0,1.0
287,bm25,1.0,1.0,1.0
290,bm25,1.0,1.0,1.0
292,bm25,1.0,1.0,1.0
293,bm25,1.0,1.0,1.0
296,bm25,1.0,1.0,1.0
299,bm25,0.6309297535714575,1.0,0.5
301,bm25,0.5,1.0,0.3333333333333333
304,bm25,0.6309297535714575,1.0,0.5
305,bm25,0.6309297535714575,1.0,0.5
306,bm25,1.0,1.0,1.0
308,bm25,1.0,1.0,1.0
